Timestamp,Price,Change_Dollar,Change_Percent
2026-01-15 12:31:06,96654,N/A,N/A
Timestamp,Price,Change_Dollar,Change_Percent
2026-01-15 12:52:41,96807,N/A,N/A
2026-01-15 12:53:41,96815,8,0.01
2026-01-15 12:54:41,96787,-28,-0.03
2026-01-15 12:55:42,96673,-114,-0.12
Timestamp,Price,Change_Dollar,Change_Percent
2026-01-15 13:53:49,95824,N/A,N/A
2026-01-15 13:54:19,95824,0,0.00
2026-01-15 13:54:49,95847,23,0.02
2026-01-15 13:55:19,95847,0,0.00
2026-01-15 13:55:49,95814,-33,-0.03
Timestamp,Price,Change_Dollar,Change_Percent
2026-01-15 14:05:53,95675,N/A,N/A
2026-01-15 14:06:23,95675,0,0.00
2026-01-15 14:06:53,95697,22,0.02
2026-01-15 14:07:23,95697,0,0.00
